longitude,run_id,heading,predictable,latitude,id,seconds_since_report,route_id
-118.2801885,950_197_0,21.0,True,33.770491,8217,180,950
-118.1302117,18_233_1,295.0,True,34.014792,8179,59,18
-118.447487,224_249_1,135.0,True,34.2892,7913,116,224
-118.417885,744_1_0,345.0,True,34.279686,9277,116,744
-118.192642,18_233_1,285.0,True,34.024155,8126,56,18
-118.1504078,260_207_0,357.0,True,34.1525146,4140,59,260
-118.278389,108_388_0,75.0,True,33.989094,5605,58,108
-118.291575,754_92_0,5.0,True,34.0616597,9509,59,754
-118.2548253,53_169_0,22.0,True,34.0187462,6108,59,53
-118.37606,105_239_0,1.0,True,34.046982,4061,116,105
-118.150409,260_234_1,179.0,True,34.1278757,4171,59,260
-118.231056,720_1055_1,220.0,True,34.057514,9281,58,720
-118.356171,16_254_0,255.0,True,34.034084,6072,58,16
-118.291421,754_92_0,1.0,True,34.0366172,9567,59,754
-118.33522,210_260_1,165.0,True,34.014198,3985,59,210
-118.103516,125_151_1,165.0,True,33.914101,11037,56,125
-118.253639,733_86_1,217.0,True,34.043213,9532,116,733
-118.432373,230_95_0,319.0,True,34.259087,5877,58,230
-118.231285,733_86_1,360.0,True,34.053883,9357,58,733
-118.044846,770_50_1,220.0,True,34.072392,5906,180,770
-118.3675503,501_7_1,262.0,True,34.1535015,4023,180,501
-118.324768,217_191_1,120.0,True,34.100056,5842,58,217
-118.361313,217_228_0,0.0,True,34.06469,5683,116,217
-118.410805,33_447_0,60.0,True,34.016399,5518,58,33
-118.261993,302_1072_1,30.0,True,34.036034,7620,58,302
-118.254951,18_186_0,300.0,True,34.046539,3918,180,18
-118.391602,117_53_0,220.0,True,33.949245,8306,179,117
-118.159729,268_135_1,186.0,True,34.180904,4078,59,268
-118.3030352,733_82_0,90.0,True,34.0435485,9412,59,733
-118.300186,206_165_0,360.0,True,34.033009,8604,58,206
-118.172287,71_84_0,330.0,True,34.058338,4034,59,71
-118.44873,233_132_0,337.0,True,34.225262,9405,58,233
-118.291992,754_70_1,180.0,True,33.92664,9539,56,754
-118.326637,710_121_1,180.0,True,33.892899,7549,58,710
-118.4013587,165_149_1,101.0,True,34.2310469,8206,59,165
-118.0825587,264_82_0,5.0,True,34.1499809,4068,59,264
-118.629929,162_126_1,262.0,True,34.201061,8314,58,162
-118.353119,28_551_1,270.0,True,34.057457,5354,116,28
-118.18248,762_108_1,183.0,True,33.934174,5865,58,762
-118.252327,90_305_1,120.0,True,34.231754,8608,58,90
-118.230789,40_896_1,219.0,True,34.051296,9449,179,40
-118.23486,685_3_0,347.0,True,34.1458865,4180,59,685
-118.273438,108_402_1,270.0,True,33.989258,5747,58,108
-118.262161,38_235_1,120.0,True,34.034359,5686,57,38
-118.2122813,117_59_1,277.0,True,33.9449397,8628,59,117
-118.5925253,163_128_0,88.0,True,34.2008918,8326,59,163
-118.300117,206_165_0,360.0,True,34.001881,8566,179,206
-118.2214742,18_186_0,108.0,True,34.0341095,8103,59,18
-118.09903,460_182_0,60.0,True,33.917015,8118,179,460
-118.341187,212_203_1,219.0,True,34.100384,6141,179,212
-118.287468,246_70_1,48.0,True,33.869411,5318,58,246
-118.0444463,910_169_1,6.0,True,34.0711092,8394,57,910
-118.421066,901_55_0,135.0,True,34.171169,9466,56,901
-118.2909562,720_1027_0,90.0,True,34.0615897,9349,59,720
-118.203094,251_108_0,62.0,True,33.93137,8533,58,251
-118.600357,353_141_0,89.0,True,34.2196585,8421,59,353
-118.468597,734_30_0,346.0,True,34.073711,9319,179,734
-118.0694023,577_36_0,12.0,True,33.9924917,7686,59,577
-118.289925,205_80_0,270.0,True,33.791065,11017,58,205
-118.265732,316_151_0,105.0,True,34.059879,7578,58,316
-118.124954,66_385_1,23.0,True,34.006168,9237,58,66
-118.742226,161_83_1,255.0,True,34.142021,3991,57,161
-118.267044,48_491_0,204.0,True,34.027481,5666,180,48
-118.255211,351_256_1,120.0,True,34.046513,3963,59,351
-118.219612,751_16_0,360.0,True,34.0263289,8052,116,751
-118.0757104,267_75_0,272.0,True,34.1422787,4155,59,267
-118.239876,720_1057_1,360.0,True,34.040737,9440,56,720
-118.2229316,78_469_1,240.0,True,34.0556498,4162,59,78
-118.383141,14_424_1,210.0,True,34.083858,3949,57,14
-118.642647,164_53_0,220.0,True,34.187809,5359,58,164
-118.2563317,733_87_1,228.0,True,34.0401855,9254,59,733
-118.361214,215_68_1,360.0,True,33.908024,5416,116,215
-118.3032623,96_247_0,312.0,True,34.1811255,3112,59,96
-118.265701,10_430_0,112.0,True,34.0694469,3865,59,10
-118.300674,175_57_0,90.0,True,34.098049,5943,58,175
-118.280777,910_173_0,360.0,True,33.965004,8381,58,910
-118.369308,780_41_0,343.0,True,34.03928,8032,58,780
-118.355644,212_216_0,315.0,True,33.96899,3858,59,212
-118.383636,224_249_1,150.0,True,34.179558,8257,58,224
-118.265213,52_265_0,360.0,True,34.00573,5410,116,52
-118.440567,794_55_1,137.0,True,34.282959,8023,58,794
-118.3777148,162_131_0,153.0,True,34.1699362,8237,59,162
-118.271309,33_447_0,120.0,True,34.03796,5454,58,33
-118.315979,94_216_1,30.0,True,34.186241,8125,58,94
-118.253937,780_41_0,75.0,True,34.14653,8065,58,780
-118.349747,312_215_0,220.0,True,33.960796,6033,58,312
-118.262878,66_385_1,300.0,True,34.048904,9458,58,66
-118.390388,90_305_1,75.0,True,34.272839,8333,58,90
-118.237579,102_60_1,270.0,True,33.974766,5733,116,102
-118.444077,720_1061_1,240.0,True,34.058804,9363,58,720
-118.361053,110_231_0,90.0,True,33.9764709,5728,58,110
-118.2918,754_70_1,181.0,True,33.9743925,9581,59,754
-118.0442913,70_246_1,220.0,True,34.0723136,4058,59,70
-118.269569,48_483_0,165.0,True,33.962143,5304,58,48
-118.2994213,115_506_0,91.0,True,33.9599314,4187,59,115
-118.379639,316_151_0,165.0,True,34.076542,8525,56,316
-118.291855,204_106_1,180.0,True,34.099449,9451,179,204
-118.265015,603_21_0,220.0,True,34.033257,4020,59,603
-118.0680197,78_475_1,269.0,True,34.07243,4178,59,78
-118.402382,364_98_1,180.0,True,34.262936,8164,56,364
-118.2398538,733_87_1,217.0,True,34.0578997,9217,59,733
-118.223251,60_115_0,351.0,True,33.875599,4075,180,60
-118.2915448,754_92_0,359.0,True,34.0457547,9585,59,754
-118.273994,48_432_0,180.0,True,33.994316,5661,116,48
-118.2594677,96_246_1,140.0,True,34.1048178,3120,59,96
-118.239782,18_233_1,354.0,True,34.041616,8124,59,18
-118.335091,710_123_0,345.0,True,34.020248,7550,58,710
-118.553719,150_171_0,90.0,True,34.172573,8222,179,150
-118.181496,611_22_0,90.0,True,33.958099,6114,56,611
-118.209091,751_16_0,285.0,True,34.057514,8053,179,751
-118.246345,603_25_1,142.0,True,34.1152222,3103,59,603
-118.4839913,4_267_0,46.0,True,34.0253623,4039,59,4
-118.396416,14_428_1,220.0,True,34.056686,5712,58,14
-118.444473,234_33_1,120.0,True,34.308479,4099,59,234
-118.4190813,728_129_1,228.0,True,34.0610708,9314,180,728
-118.3238092,35_205_1,91.0,True,34.039827,8591,59,35
-118.247902,316_350_1,219.0,True,34.042965,5706,180,316
-118.442535,734_31_1,135.0,True,34.045467,9287,116,734
-118.168808,258_35_0,360.0,True,33.905628,5968,56,258
-118.261604,728_130_1,304.0,True,34.043652,9211,58,728
-118.291664,204_106_1,165.0,True,34.016621,9477,56,204
-118.275368,175_59_1,30.0,True,34.0974689,5461,176,175
-118.2807252,205_81_1,349.0,True,33.7897385,5776,59,205
-118.24836,720_1064_1,300.0,True,34.046566,9302,58,720
-118.267502,950_197_0,32.0,True,34.041206,8375,58,950
-118.207458,81_195_0,30.0,True,34.095684,8569,58,81
-118.2285,81_181_1,225.0,True,34.0784949,8545,58,81
-118.131538,267_76_1,75.0,True,34.190063,7612,116,267
-118.437912,108_382_0,15.0,True,33.983154,3895,116,108
-118.338333,16_347_1,270.0,True,34.068951,5797,58,16
-118.308968,207_269_1,165.0,True,34.016594,9563,116,207
-118.4223268,150_174_1,281.0,True,34.1465807,8228,59,150
-118.2539762,53_177_0,348.0,True,33.950151,6143,59,53
-118.429855,901_54_1,304.0,True,34.179283,9481,58,901
-118.241249,110_208_1,180.0,True,33.976002,5787,58,110
-118.363083,217_217_1,195.0,True,34.059769,7467,179,217
-118.309135,207_269_1,180.0,True,33.958183,9429,58,207
-118.2565165,105_239_0,270.0,True,34.0039676,5936,59,105
-118.571159,243_16_0,179.0,True,34.2197768,8273,59,243
-118.1400198,487_85_1,269.0,True,34.0715077,4177,59,487
-118.370163,237_13_0,4.0,True,34.141716,3925,59,237
-118.282677,120_71_1,165.0,True,33.930599,8311,58,120
-118.4148105,152_132_0,85.0,True,34.2215313,8196,59,152
-118.322014,704_153_1,270.0,True,34.09087,9322,179,704
-118.103973,125_150_1,220.0,True,33.913055,11008,116,125
-118.623207,152_132_0,220.0,True,34.166962,8258,58,152
-118.3767248,35_200_1,164.0,True,34.0437818,8585,59,35
-118.087883,70_247_1,270.0,True,34.062737,5335,58,70
-118.252914,358_383_0,90.0,True,33.989311,5899,58,358
-118.282776,81_179_1,180.0,True,33.998936,8562,179,81
-118.44886,744_2_1,181.0,True,34.172821,9232,58,744
-118.418808,316_358_0,45.0,True,34.060978,5730,58,316
-118.329391,710_121_1,240.0,True,33.881981,7594,235,710
-118.291924,204_106_1,165.0,True,33.952572,9484,179,204
-118.160713,268_134_1,90.0,True,34.183022,7638,58,268
-118.370361,222_67_1,180.0,True,34.215801,3983,235,222
-118.347092,111_347_1,241.0,True,33.969952,8462,58,111
-118.4141447,728_128_0,220.0,True,34.0608203,9268,59,728
-118.2971395,316_352_1,270.0,True,34.0690883,3908,59,316
-118.269829,28_550_1,299.0,True,34.047337,5384,58,28
-118.141998,117_59_1,210.0,True,33.911461,8262,116,117
-118.286873,910_173_0,233.0,True,33.869411,8390,179,910
-118.605965,750_51_0,165.0,True,34.188908,8072,58,750
-118.598984,245_64_0,360.0,True,34.253532,4118,59,244
-118.265144,51_237_0,0.0,True,33.949024,5406,180,51
-118.247543,94_216_1,210.0,True,34.053387,8584,179,94
-118.2116408,60_115_0,90.0,True,33.8741657,6123,59,60
-118.326439,210_256_0,345.0,True,33.876591,8453,179,210
-118.287598,910_169_1,220.0,True,33.869495,8357,179,910
-118.5012554,236_126_1,180.0,True,34.1981634,4090,180,236
-118.130165,267_77_1,75.0,True,34.140892,4163,57,267
-118.200539,68_125_0,105.0,True,34.043434,5491,180,68
-118.450729,750_52_1,270.0,True,34.151314,8046,235,750
-118.153145,115_442_1,270.0,True,33.9475399,8470,58,115
-118.3871238,704_156_0,50.0,True,34.0826265,9253,59,704
-118.2367585,330_691_1,278.0,True,34.050578,8428,59,330
-118.405174,233_132_0,47.0,True,34.278339,9341,179,233
-118.395073,720_1039_0,90.0,True,34.067081,9510,179,720
-118.449028,602_3_1,225.0,True,34.055012,5613,58,602
-118.366692,20_613_1,270.0,True,34.063618,5693,58,20
-118.222336,910_169_1,210.0,True,34.0541569,8163,176,910
-118.562767,162_131_0,90.0,True,34.201008,8343,116,162
-118.2565532,60_128_1,211.0,True,34.0473188,6013,180,60
-118.173103,770_49_0,90.0,True,34.040489,6053,58,770
-118.2651303,351_262_0,0.0,True,33.9230862,5983,59,351
-118.2617705,302_1072_1,215.0,True,34.0345998,3903,59,302
-118.309067,757_68_1,165.0,True,34.033119,6120,179,757
-118.3055922,316_151_0,90.0,True,34.0688935,5641,59,316
-118.589119,244_31_0,360.0,True,34.219929,7699,179,244
-118.221191,251_108_0,315.0,True,34.082867,8505,58,251
-118.381508,705_63_1,135.0,True,34.085644,7886,295,705
-118.243477,53_172_1,120.0,True,34.041122,3926,57,53
-118.316017,35_202_0,270.0,True,34.039967,5679,58,35
-118.281731,200_40_0,270.0,True,34.011093,3958,57,200
-118.256294,37_418_1,218.0,True,34.04731,7581,116,37
-118.2329812,704_153_1,194.0,True,34.0554142,9311,59,704
-118.444405,734_33_0,315.0,True,34.286449,9305,58,734
-118.122528,128_27_0,75.0,True,33.889294,11036,58,128
-118.2571538,66_246_0,129.0,True,34.0428493,9465,59,66
-118.567291,242_18_1,220.0,True,34.275146,4098,59,242
-118.422914,901_57_1,339.0,True,34.1727045,9544,59,901
-118.3993303,165_166_1,270.0,True,34.1939603,8159,59,165
-118.2111275,612_23_0,251.0,True,33.9306612,6137,59,612
-118.2710648,603_25_1,104.0,True,34.0292398,3111,59,603
-118.382164,105_224_1,220.0,True,34.0847089,4037,59,105
-118.044418,76_170_1,345.0,True,34.071869,8232,176,487
-118.244301,45_518_0,30.0,True,34.054955,5871,56,45
-118.300545,358_387_0,90.0,True,33.989063,5779,58,358
-118.25354,51_227_1,128.0,True,34.045414,4035,59,51
-118.1188504,76_162_0,88.0,True,34.0786998,4070,59,76
-118.234329,330_690_1,287.0,True,34.05127,5680,58,330
-118.504883,602_3_1,210.0,True,34.05127,5671,295,602
-118.474922,33_447_0,135.0,True,33.993107,5891,56,33
-118.3011025,18_233_1,271.0,True,34.0636173,8119,59,18
-118.131866,176_67_1,329.0,True,34.102364,4009,176,176
-118.309296,757_69_0,75.0,True,33.930931,5314,58,757
-118.32637,757_67_0,220.0,True,33.925621,6015,180,757
-118.251869,794_55_1,210.0,True,34.04863,8085,58,794
-118.28186,45_516_0,90.0,True,33.930984,5967,180,45
-118.267075,45_518_0,15.0,True,34.029354,4181,59,45
-118.4991495,150_169_1,286.0,True,34.1588635,8277,59,150
-118.2396263,18_186_0,111.0,True,34.0387772,6102,59,18
-118.2912635,754_70_1,268.0,True,34.0981247,9508,59,754
-118.3900127,20_614_1,268.0,True,34.0670953,3851,59,20
-118.33503,210_256_0,360.0,True,34.027374,8625,176,210
-118.16288,111_347_1,277.0,True,33.9677239,8642,58,111
-118.275108,2_1059_0,150.0,True,34.085838,5692,180,2
-118.300117,206_165_0,345.0,True,34.008808,8603,58,206
-118.190605,125_153_0,90.0,True,33.903511,11021,58,125
-118.195198,252_70_1,60.0,True,34.085178,5901,180,252
-118.2519,60_117_0,220.0,True,34.028225,6096,58,60
-118.613998,162_131_0,75.0,True,34.200981,8285,58,162
-118.211319,45_527_1,270.0,True,34.073765,8532,179,45
-118.1927868,254_15_1,282.0,True,34.0242531,3134,59,254
-118.272224,81_193_0,15.0,True,34.034111,8509,179,81
-118.346107,108_359_1,270.0,True,33.988956,5612,58,108
-118.265305,51_227_1,165.0,True,33.994869,5415,58,51
-118.232826,745_97_1,99.0,True,34.055065,8019,58,745
-118.383179,233_139_1,220.0,True,34.279766,9404,116,233
-118.376686,115_472_1,270.0,True,33.959999,8629,179,115
-118.233501,489_97_1,278.0,True,34.0539961,4062,59,489
-118.4134748,728_128_0,145.0,True,34.060505,9208,59,728
-118.252327,487_92_1,210.0,True,34.052067,5902,58,487
-118.223907,751_17_1,220.0,True,34.087654,8099,179,751
-118.2084292,60_115_0,355.0,True,33.9044742,5935,59,60
-118.528023,602_1_1,300.0,True,34.048409,5766,57,602
-118.208992,252_70_1,220.0,True,34.093647,5433,58,252
-118.32444,344_49_1,270.0,True,33.872932,8647,116,344
-118.310669,316_356_1,270.0,True,34.069035,5872,58,316
-118.2565335,53_172_1,180.0,True,33.980372,3919,180,53
-118.247803,55_233_1,180.0,True,33.985901,3965,180,55
-118.433624,233_139_1,225.0,True,34.257767,9250,179,233
-118.563652,364_98_1,270.0,True,34.232056,8607,58,364
-118.352592,40_874_0,220.0,True,33.865314,9494,116,40
-118.196411,252_77_0,22.0,True,34.065708,5912,58,252
-118.3565983,210_256_0,360.0,True,33.8673298,8327,59,210
-118.0450915,577_37_1,269.0,True,34.0720437,5884,59,577
-118.2653217,351_257_1,172.0,True,33.9186048,3868,59,351
-118.309036,66_385_1,360.0,True,34.06007,9407,56,66
-118.194901,79_473_1,195.0,True,34.076488,4051,180,79
-118.320999,125_150_1,270.0,True,33.902,11043,179,125
-118.375542,108_402_1,270.0,True,33.988239,3852,180,108
-118.2469033,78_496_0,127.0,True,34.0543813,4156,59,78
-118.287857,950_197_0,360.0,True,33.739803,8365,176,950
-118.258751,780_42_1,231.0,True,34.128654,8064,58,780
-118.56955,901_59_0,105.0,True,34.186653,9546,58,901
-118.254883,48_429_0,210.0,True,34.041782,5476,176,48
-118.441917,20_600_0,75.0,True,34.059494,6075,176,20
-118.419624,750_51_0,90.0,True,34.146091,8024,58,750
-118.353218,740_94_1,250.0,True,33.965527,5504,58,740
-118.209419,60_128_1,165.0,True,33.915611,5456,58,60
-118.283829,40_878_0,89.0,True,34.011066,9584,58,40
-118.308968,207_274_0,360.0,True,33.952847,9337,58,207
-118.15416,720_1058_1,220.0,True,34.018627,9365,179,720
-118.389801,94_216_1,220.0,True,34.255981,8208,58,94
-118.449554,169_119_0,75.0,True,34.208462,4104,59,169
-118.3936888,163_120_0,69.0,True,34.2008865,8189,59,163
-118.15217,79_473_1,260.0,True,34.1041864,4164,59,79
-118.258224,316_358_0,120.0,True,34.05072,5731,180,316
-118.187112,260_236_1,170.0,True,33.9659415,8430,59,260
-118.304413,10_469_1,270.0,True,34.083584,5649,58,10
-118.225449,358_383_0,90.0,True,33.989147,5711,58,358
-118.159698,120_69_0,120.0,True,33.927574,6031,295,120
-118.606064,150_173_0,180.0,True,34.201641,8235,56,150
-118.605965,161_86_1,165.0,True,34.188522,4117,59,161
-118.414413,167_95_1,359.0,True,34.221466,3988,59,167
-118.1855528,611_22_0,187.0,True,33.9873312,5796,59,611
-118.4961622,733_87_1,230.0,True,34.0130413,9335,59,733
-118.377571,224_224_0,328.0,True,34.169876,8261,58,224
-118.14875,79_501_0,90.0,True,34.1040149,7483,179,79
-118.212173,251_110_1,183.0,True,33.955074,8546,58,251
-118.448441,115_507_0,210.0,True,33.958923,8476,179,115
-118.5534473,242_16_0,0.0,True,34.1996364,8250,180,242
-118.287071,111_342_0,75.0,True,33.974602,8454,58,111
-118.605736,245_53_1,360.0,True,34.170208,4091,57,245
-118.473541,166_117_1,271.0,True,34.23563,5471,58,166
-118.159042,260_207_0,360.0,True,34.01442,4050,59,260
-118.3658283,165_149_1,269.0,True,34.1939638,8288,59,165
-118.287399,344_49_1,220.0,True,33.869686,6132,116,344
-118.331291,210_260_1,270.0,True,33.872906,8471,58,210
-118.271568,94_228_0,337.0,True,34.14653,8282,116,94
-118.263672,200_40_0,285.0,True,34.022644,6121,58,200
-118.035568,176_67_1,360.0,True,34.058834,5317,176,176
-118.2552555,115_472_1,271.0,True,33.9602148,8276,59,115
-118.317421,20_600_0,75.0,True,34.061665,5841,176,20
-118.229843,79_501_0,105.0,True,34.056,7673,57,79
-118.5032484,353_141_0,89.0,True,34.2211323,4110,59,353
-118.254166,111_340_0,90.0,True,33.974739,8620,57,111
-118.5485958,162_126_1,272.0,True,34.201156,8259,59,162
-118.497246,733_82_0,220.0,True,34.014942,9312,58,733
-118.289101,2_1057_1,270.0,True,34.098213,6029,56,2
-118.224403,28_549_1,240.0,True,34.122414,8586,116,28
-118.283958,200_39_1,197.0,True,34.0454409,5366,180,200
-118.29982,111_349_1,270.0,True,33.960079,8176,56,111
-118.2840422,200_40_0,359.0,True,34.0417158,4038,59,200
-118.265244,4_263_1,220.0,True,34.033176,4057,59,4
-118.344627,780_42_1,271.0,True,34.101597,8055,179,780
-118.2711147,316_350_1,295.0,True,34.0623127,8225,59,316
-118.504456,162_126_1,255.0,True,34.201229,8139,58,162
-118.210861,252_70_1,195.0,True,34.0421679,7804,116,252
-118.288841,14_418_1,90.0,True,34.076267,5836,58,14
-118.265305,52_212_1,165.0,True,34.002182,3882,59,52
-118.2571193,4_269_0,116.0,True,34.0766097,8405,59,4
-118.308838,207_275_0,0.0,True,34.004108,9482,116,207
-118.334602,30_604_0,90.0,True,34.048546,8487,58,30
-118.051758,70_255_0,90.0,True,34.062626,5807,180,70
-118.219612,751_17_1,182.0,True,33.996628,8094,179,751
-118.2516797,51_258_0,307.0,True,34.0441703,3874,180,51
-118.289726,232_74_0,270.0,True,33.791065,11007,179,232
-118.263901,83_121_0,305.0,True,34.033257,7655,58,83
-118.142715,266_19_0,220.0,True,33.849831,5632,180,266
-118.213943,78_496_0,45.0,True,34.060867,5469,180,78
-118.35273,40_875_0,165.0,True,33.865864,9452,116,40
-118.352791,40_898_1,180.0,True,33.908932,9565,58,40
-118.253738,91_306_0,315.0,True,34.122826,8191,58,91
-118.271309,200_40_0,15.0,True,34.065102,5519,180,200
-118.03344,79_471_1,255.0,True,34.140095,5424,235,79
-118.287827,125_152_0,75.0,True,33.901806,11053,58,125
-118.2742163,66_284_0,119.0,True,34.053173,9398,180,66
-118.265144,51_259_0,345.0,True,33.984692,7432,116,51
-118.349319,105_220_1,152.0,True,34.019424,4003,116,105
-118.0443504,76_170_1,220.0,True,34.0721933,4143,180,76
-118.313751,757_68_1,90.0,True,34.101677,7900,179,757
-118.300186,206_165_0,0.0,True,33.945313,8526,58,206
-118.291626,754_92_0,345.0,True,34.063671,9578,57,754
-118.23735,68_131_0,105.0,True,34.058144,4076,116,68
-118.311523,207_275_0,255.0,True,34.101788,9442,58,207
-118.43824,230_87_1,139.0,True,34.264423,6024,56,230
-118.278221,45_518_0,360.0,True,33.961868,5376,57,45
-118.4879,534_143_1,219.0,True,34.014034,5662,180,534
-118.291336,14_382_0,255.0,True,34.076378,5676,58,14
-118.552048,534_144_0,75.0,True,34.038979,7373,57,534
-118.201355,720_1058_1,285.0,True,34.028004,9480,57,720
-118.288216,704_156_0,75.0,True,34.0908159,9259,176,704
-118.330109,210_260_1,219.0,True,34.104481,8610,58,210
-118.2806743,10_482_1,293.0,True,34.0751021,4095,59,10
-118.251312,62_225_1,220.0,True,34.063946,5627,58,62
-118.273537,102_60_1,299.0,True,34.019096,5701,58,102
-118.255112,40_874_0,30.0,True,34.043324,9420,56,40
-118.466431,901_55_0,90.0,True,34.1805189,9435,57,901
-118.344009,35_243_0,263.0,True,34.039856,7492,116,35
-118.335815,733_86_1,277.0,True,34.046951,9545,116,733
-118.279762,200_40_0,195.0,True,34.012218,5499,58,200
-118.3967138,117_53_0,72.0,True,33.9443145,8632,59,117
-118.291496,204_103_0,220.0,True,33.924908,9361,58,204
-118.3106768,164_55_1,311.0,True,34.178059,8321,59,164
-118.25708,71_84_0,36.0,True,34.0453029,5334,116,71
-118.201355,127_24_0,75.0,True,33.895977,6116,58,127
-118.28199,105_231_1,75.0,True,34.003696,7643,179,105
-118.334991,130_89_1,270.0,True,33.872906,11051,179,130
-118.230927,794_55_1,143.0,True,34.094692,8071,58,794
-118.2942007,91_310_1,127.0,True,34.2518975,8177,59,91
-118.3015437,705_69_0,271.0,True,34.0037155,6036,59,705
-118.343941,312_215_0,360.0,True,34.064388,5763,116,312
-118.1047137,378_491_1,270.0,True,34.1025556,4186,59,378
-118.180939,76_162_0,15.0,True,34.064499,5843,235,76
-118.292412,207_275_0,255.0,True,33.930984,9485,58,207
-118.350792,33_447_0,75.0,True,34.0449709,5341,58,33
-118.208504,81_179_1,210.0,True,34.094692,8524,179,81
-118.254128,760_43_0,308.0,True,34.046043,5856,57,760
-118.268845,53_177_0,90.0,True,33.923672,6043,58,53
-118.230629,733_86_1,219.0,True,34.051243,9558,179,733
-118.223251,762_103_0,220.0,True,33.875435,7930,179,762
-118.370003,217_191_1,179.0,True,34.040024,5642,180,217
